大图编码,小图编码,版本,名称,中国区获得方法,国际服获得方法,说明
068597.tex,004597.tex,2.38,企业号模型,积分兑换平台限时兑换,实体特典,加隆德炼铁厂制作的飞空艇模型。原型是天才机械师西德在帝国时设计建造的“企业号”。模型设计得十分精巧，连尾部的作业臂都完美再现了出来，并且随船附送小小西德。
068598.tex,004598.tex,2.38,邮差莫古力娃娃,道具商城购买,实体特典,无论何时何地，邮差莫古力都会将信件完好无损地送到收信人手中。头上的帽子和身上的背包是最明显的标志。
068599.tex,004599.tex,2.45,迷你娜娜莫,购买月卡累积满足15个月,累积充值630天,乌尔达哈第十七任国王的魔法人偶。在庆祝女王在位十周年时，雕金匠行会专门设计过一个款式，能够充分表现出当时15岁的娜娜莫陛下小巧可爱的形象。这款人偶采用的也是同样的设计。
068600.tex,004600.tex,2.38,迷你雅·修特拉,道具商城购买,莫古站商城购买,拂晓的塔塔露小姐向乌尔达哈的雕金匠行会定制的雅·修特拉魔法人偶。双脚穿的靴子是由飞·乌尔工作室特别提供的精品皮革。
068601.tex,004601.tex,2.38,迷你伊达,道具商城购买,莫古站商城购买,拂晓的塔塔露小姐向乌尔达哈的雕金匠行会定制的伊达魔法人偶。据说连面具下面也制作得十分精妙，但是无论怎么样都无法把面具摘下来……
068602.tex,004602.tex,2.38,迷你帕帕力莫,道具商城购买,莫古站商城购买,拂晓的塔塔露小姐向乌尔达哈的雕金匠行会定制的帕帕力莫魔法人偶。看上去真是既小巧又可爱，让人完全不愿意去想原本的模特已经是个40多岁的大叔了。
068603.tex,004603.tex,2.45,迷你于里昂热,道具商城购买,莫古站商城购买,拂晓的塔塔露小姐向乌尔达哈的雕金匠行会定制的于里昂热魔法人偶。因为于里昂热坚决拒绝摘下帽子，所以里面的头发没有还原出来。
068604.tex,004604.tex,2.4,迷你奥尔特罗斯,Lv50副本「艾玛吉娜杯斗技大会决赛 」掉落,,最强雕金匠戈德伯特原本想要以软体动物的概念设计一款指环，可是不知道什么时候一不小心做出了这个东西。甚至连喜欢小妹子的个性也完全还原了出来。
068605.tex,004605.tex,2.45,雪孩子,道具商城购买,莫古站商城购买,模仿雪人的外型做出的魔法人偶。在星芒节期间，一位留着白胡子的匿名绅士专门为小朋友们做出了这款礼物。非常喜欢冰冷的东西，更喜欢别人对它投雪球。
068606.tex,004606.tex,2.4,胖儿陆行鸟,"20,000金碟币 兑换",,按理来说陆行鸟是几乎不可能仅靠吃野菜变成这么胖嘟嘟的样子的。这只小鸟也确实食欲旺盛，说不定将来什么时候就会把武器装备也给吃下去了。
068607.tex,004607.tex,2.4,猫小胖,捕鱼仆人：水岸G14/G15/G16/G17,,又小又胖的小猫崽。原本好像是城市里的小野猫，不过因为某个雇员每次工作结束后都会喂给它一些剩余的食物，久而久之便成了现在这样了。
068608.tex,004608.tex,2.4,小脚雪人,园艺仆人：森林G14/G15/G16/G17,,幼小的雪人，是被一名上山寻宝的雇员发现的。当时这只小可怜既没有父母的呵护也没有果腹的食物，于是那名雇员将自带的食物分给了它一些。小雪人好像非常高兴，并一直跟着雇员回到了城里。
068609.tex,004609.tex,2.4,小木乃伊,Lv50副本「苏醒遗迹喀恩埋没圣堂」掉落,,在喀恩埋没圣堂中的一个小小的棺材里发现的小人偶。身上缠满绷带毫不影响它像有生命一样活动。虽然没人知道它到底为什么能活动，但是也没人有足够的勇气去把绷带拆开……
068610.tex,004610.tex,2.4,暗斗鱼苗,忍斗鱼分解 获得,,在分解忍斗鱼的时候突然发现这条小鱼躺在其中一条的肚子里。可能是在大鱼的胃里这段经历使得小鱼苗宁可学会飞行也不愿意再回到水中了。但是每次走到水边时好像还是会有些怀念的反应。
068611.tex,004611.tex,2.51,河童童,"10,000金碟币 兑换",,货真价实百分百保证是真的河童。虽然你可能会以为是一个魔法人偶，但是只要你仔细看了就会发现，这极有可能是被古代魔法变成河童的人类。可他（或者说是她？）到底是什么人呢？至今仍然是一个谜。
068612.tex,004612.tex,2.4,迷你路易索瓦,"完成成就：「称霸最终大迷宫1」后获得
成就条件：成功挑战巴哈姆特大迷宫真源之章",,模仿贤者路易索瓦的外型所制作的魔法人偶。为了纪念这位牺牲自己阻止卫月坠落的伟人，雕金匠行会特地制作了这款精巧的人偶。
068613.tex,004613.tex,2.45,祝福礼盒,永结同心黄金方案或白金方案来宾奖励,,原本是打算送给来宾们包装好的恶魔砖块，可是因为内部构造没有解明而失败了。现在这种虽然里面好像有些奇怪的东西，不过不要介意！情义在就好！
068614.tex,004614.tex,2.51,长须小黑豹,"20,000金碟币 兑换",,长须豹的幼崽。通常的长须豹都是普通的毛皮带有黑色的斑点，这只小豹却有着纯黑的毛皮，实在是非常漂亮。另外它本身还带有很高的魔力，一举一动都显现出幼年王者的风范。
068615.tex,004615.tex,2.5,非正宗调查员,完成任务：「随风而逝的结局」后获得,,模仿无知无畏的非著名绅士调查员希尔迪布兰德制作的魔法人偶。据说是艾欧泽亚最强的雕金匠由于思念远在天边的爱子而倾情制作出来的。最令人感到吃惊的是这款人偶竟然也带着助手娜修。
068616.tex,004616.tex,2.5,自律型魔导浮游炮,Lv50 锻铁制作,,还原度极高的玩具模型，精巧地将加雷马帝国的无人浮游炮还原了出来。怎么样？是不是比你的技术强多了？……加隆德！
068617.tex,004617.tex,2.5,暗淡之云,Lv50副本「水晶塔：暗之世界」掉落,,在暗之世界捡到的魔法人偶，看上去感觉和“梦魔娃娃”有一些相似。说起来当年有一位雕金匠因为召唤妖异未遂而被逮捕，出狱之后却消失得无影无踪。人们只知道他家里的留言写着“我要启程前往异界去探求美的真谛”……
068618.tex,004618.tex,2.5,尘世幻龙,完成Lv50任务：「前往密约之塔」后获得,,世界最初之龙，所有龙族的始祖，尘世幻龙为了观察光之战士的行动而创造了这个分身，小龙能够将自己所见的一切原封不动地传达给身处银泪湖的本体。样子虽然小，却有着非常苍老浑厚的声音。
068619.tex,004619.tex,3,迷你阿尔菲诺,完成Lv51任务：「搜寻伊塞勒」后获得,,模仿莱韦耶勒尔家大少爷的外型所制作的魔法人偶。原本是水晶义勇队的会计官为了筹备资金而偷偷制作出来的，可是却被总帅本人发现，并强行禁止了贩卖。结果现在在仓库里堆成了一座山。
068620.tex,004620.tex,3.01,迷你阿莉塞,道具商城购买,,模仿莱韦耶勒尔家大小姐的外型所制作的魔法人偶。因为仓库中堆积的阿尔菲诺人偶太多，所以有些独立商人便进行了少量的加工，改成少女人偶重新发售。据制作者说，改造的成本简直低得不要钱一样。
068621.tex,004621.tex,2.5,恩奇都,Lv50副本「无限城的死斗」掉落,,当初剑豪吉尔伽美什在旅行途中由于饥饿而从农家偷了一只鸡出来。但是他却完全不懂要如何进行烹调。正在他准备生吃的时候遭到了这只鸡猛烈的反击。鸡的强硬态度令剑豪肃然起敬，并且决定带着这只威猛的鸡一同旅行。
068623.tex,004623.tex,3.x,萌神乐团,道具商城购买,实体特典,有个莫古力做梦都想要结成一支吟游诗人乐队，因此制作了该乐团用于伴奏。连微型乐器都给做好了，没想到它们并不会演奏。另外，由于乐队内部对音乐见解不一致，导致这支乐队还没出道就解散了。
068624.tex,004624.tex,3.x,黑巧儿信差,官方活动奖励,购买3.0典藏版,纯天然黑色羽毛品种的陆行鸟有着在空中飞行的能力。这只小鸟为了证明自己不是涂色的赝品，每天都在努力练习飞行。
068625.tex,004625.tex,3.x,迷你凯因,3.0开服纪念道具,预购3.0典藏版,模仿古代传说中的龙骑士所制作的魔法人偶。每一个伊修加德的孩子都听过凯因的传奇。为了能够重现传说中的跳跃，制作者特地在人偶体内加入了偏属性水晶。跳跃虽然被完美还原，但是也导致了人偶经常会做出一些诡异的举动。
068626.tex,004626.tex,3.01,迷你塔塔露,道具商城购买,,模仿拂晓血盟永远的接待员所制作的魔法人偶。塔塔露本身还兼任血盟的财务管理员，虽然人偶是她亲自找上雕金匠行会委托制作的，不过这绝对不是私用公款！做这些人偶都是为了向提供情报的商人们表示感谢！
068627.tex,004627.tex,3.x,迷你西德,完成Lv57任务：「来自北方之人」后获得,,模仿天才机械师西德所制作的魔法人偶。由加隆德炼铁厂的代理厂长亲自设计并贩卖的商品。由于非常畅销，导致厂里人都觉得“这东西比厂长还能挣钱吧”。
068628.tex,004628.tex,3.x,独角幼兽,Lv57副本「圣教中枢 伊修加德教皇厅」掉落,,独角兽的幼崽，被饲养在伊修加德教皇厅的庭院里。额头上的角内蕴含力量，可以用来净化仪式用的圣水。冒险者攻入教皇厅时，它决定趁乱脱逃，去见识一下更广阔的世界。
068629.tex,004629.tex,3.x,小小阿托莫斯,Lv60 炼金制作,,小小的阿托莫斯，在宝箱里找到它时它还是个抽搐的肉片。随便喂了它点有营养的素材没想到它竟然长大了。只要是冒险???扔的东西它都会吸走，吸引力不可小觑！
068630.tex,004630.tex,3.x,猫头小鹰,Lv60副本「博物战舰 无限回廊」掉落,,枭的幼鸟，作为镜骑士型合成生物的材料被展示在博物战舰里。由于受到了品种改良，它十分聪明，喜欢读书。最近它的爱读物是八卦杂志?渡鸦周刊?。
068631.tex,004631.tex,3.x,丑小鸭,Lv60副本「空中神域 不获岛」掉落,,自称白天鹅的幼鸟。出生于瓦努族的神域不获岛，因忍受不了坏心眼的兄弟姐妹的欺负而决心踏上旅途。不过由于它飞不起来，只能让冒险者保护它。不论做什么事都小心翼翼，十分慎重。
068632.tex,004632.tex,3.x,风筝小猫,Lv53副本「天山绝顶 阿尔灵峰」掉落,,风筝猫的幼崽，在索姆阿尔灵峰的山里迷了路，被冒险者收养。虽然身后的翅膀怎么看都像是背上去的，但只要想去拿下来它就会十分不开心。也有人说它其实是下级妖异……
068633.tex,004633.tex,3.x,发条推车,Lv60 刻木制作,,小小的发条手推车。本是园艺工行会为奖励基萨尔野菜大赛的获胜者，而向古橡大堂订制的奖品，但由于其乱丢野菜遭到非议，现在已被回收在仓库里压箱底。
068634.tex,004634.tex,3.x,小熊猫,Lv55副本「邪龙王座 龙巢神殿」掉落,,小熊猫的幼崽，这种动物本应栖息在北洲的南部和东洲边境地区的山岳地带，可不知为什么它们出现在了龙巢里。也许是飞往东方的龙族带回来的。总而言之，双腿站立是它的拿手好戏。
068635.tex,004635.tex,3.x,63页,Lv59副本「学识宝库 迦巴勒幻想图书馆」掉落,,迦巴勒幻想图书馆里收藏的书籍。第63页中不知被魔法封印着什么东西。不过，之所以被指定为禁书，并不光是因为它里面封印着异物，更是因为其内容十分的……忽悠人。
068636.tex,004636.tex,3.x,铁小人,Lv60 铸甲制作,,迷你铁巨人，听说是飞空艇在自动航行时，操纵人偶太闲了，就一点点造出了这个作品。 但由于它做得太专注，以至于开过了头都没发现。最后只得把铁小人作为发现的成果上缴国家。
068637.tex,004637.tex,3.x,狮鹫宝宝,兵团徽章400点兑换,,狮鹫的幼崽，相传百家兵团的怪物猎人在讨伐巨大狮鹫时发现了这头幼兽。由于它的眼神真挚又可爱，不禁动了恻隐之心将其带回了家。现在正在为它寻找饲主。
068638.tex,004638.tex,3.05,迷你冰之巫女,光与暗的历练,2015年「新生祭」活动奖励,模仿伊塞勒的外形所制作的魔法人偶。异端者为了拉拢新人也是拼了老命，竟然把他们的领导冰之巫女给做成了人偶。然而千辛万苦做好后，不幸被伊塞勒本人发现，只得停止对外发放。
068639.tex,004639.tex,3.x,格斯塔拉,捕鱼仆人：水岸G18,,威风凛凛，皇家风范，原本只是一只小野狗，但由于其飒爽的身姿有如皇帝一般，不知从什么时候起，它也有了血统证书。再将斗篷往它身上一披……天啊，简直太有皇帝范儿了。
068640.tex,004640.tex,3.01,7号蒸汽小战车,Lv60 铸甲制作,,科学家组织青蓝之手为开发新武器7号哥布林战车而制作的迷你样机。乘风驰骋，野心无限！
068641.tex,004641.tex,3.x,皇家贝希摩斯宝宝,兵团徽章400点兑换,,据说是传说中的魔兽凯撒贝希摩斯的幼崽。被百家兵团的怪物猎人抓走后，不仅享受着皇家待遇，还穿上了棉衣。其实并没有人知道它的真实身份。
068642.tex,004642.tex,3.x,追踪系统,完成Lv60任务：「博物战舰 无限回廊」后获得,,古代亚拉戈文明的浮空系统，将停止运转的导航系统移植到新的系统装置上得来。为了完成魏吉的心愿，带着它去各地旅行。不过它并不能为冒险者带路。
068643.tex,004643.tex,3.07,迷你夕雾,光与暗的历练,2015年「新生祭」活动奖励,模仿夕雾的外形所制作的魔法人偶。在丧灵钟开拓团工作的某多玛出身的人偶师，受艾欧泽亚魔法人偶所启发而制作的。这位老练人偶师的口头禅是“人偶的容貌是灵魂所在”，而他制作的这个人偶也是完全再现出了夕雾小姐的美貌。
068644.tex,004644.tex,3.x,橄榄宝石兽,道具商城购买,实体特典,模仿宝石兽制作的魔法人偶。尝过被自己召唤出的宝石兽所背叛的苦头，塔塔露决心制造一个忠于自己的部下，因此向雕金匠行会下了订单制作。值得一提的是，该宝石兽的外观是塔塔露自己缝制的。
068645.tex,004645.tex,3.x,金绿宝石兽,道具商城购买,实体特典,模仿宝石兽制作的魔法人偶。塔塔露最终还是没能召唤出黄宝石兽，为制造一个忠于自己的部下，她向雕金匠行会下了订单制作。不过由于外形是布制的，所以比真的黄宝石兽还要弱。
068647.tex,004647.tex,3.x,淘金热,"Lv57FATE：暴食人形岩「大地饕餮」
阿巴拉提亚云海(X21，Y12)
金牌奖励",,发条小矿车。据说是雇员为携带工作时获得的物品而准备的。但有一天，雇员找到了一块巨大的金矿石，放到车里之后就再也拿不出来了。真是个贪心的矿车。
068648.tex,004648.tex,3.07,南瓜管家,2016年「守护天节」奖励,2015年「守护天节」奖励,原本是番茄国王的贴身管家，因实在受不了乱七八糟砸在身上的杂活而跑了出来。在独自旅行的途中被大陆马戏团抓获，成为了苦力。之后被冒险者行会的调查员救了出来……
068649.tex,004649.tex,3.07,迷你弗利奥尼尔,购买月卡累积满足27个月,累积充值960天,以传说中的英雄“弗利奥尼尔”为原型的魔法人偶。这个魔法人偶制作非常精良，据说是某位船员为了赠送给现代的英雄而带来的。总感觉背后有什么阴谋，不过还是收下吧，这不挺好吗！免费的！
068656.tex,004656.tex,3.25,喜鹊儿,2016年新春活动特辑,莫古站商城购买,能够带来捷报与喜讯的小鸟。传说它会作为月亮神梅茵菲娜的使者在星空下起舞，为人们带来爱。这种鸟原本不栖息在艾欧泽亚，而是来自遥远的东方。那里的人们相信这种小鸟能够带来喜兆，并因此在它的名字中加入了“喜”字。无论什么时候，只要听到这种可爱小鸟的叫声，<br>就一定会有好事发生。
068657.tex,004657.tex,3.1,衮杜玩偶,"要求瓦努族声望到达：信赖
贩卖价格：25000金币",,模仿瓦努族外形的魔法人偶。美艳的衮杜族的咒法师操纵图腾进行一种诡异的仪式创造出了它。为了再现瓦努族那曼妙的身材，他们可是下了一番苦心。
068658.tex,004658.tex,3.1,猴面雀儿,陈旧的巨龙革地图（G8）,,瓦努族为了参加“斗猴面雀比赛”而饲养的猴面雀的幼崽，后来转手给了某个蔷薇骑兵，可没想到该骑兵又打赌打输，再次把它转手……几经周转，最后这只可怜的小家伙在宝箱里被发现了。
068659.tex,004659.tex,3.1,青蓝小手,Lv60 裁衣秘籍第三卷制作,,模仿哥布林战士外形的魔法人偶，是由科学家组织青蓝之手制作的，意在宣传哥布林族有多么的优秀。布雷福洛克斯在偷哥布林奶酪的配方时也将它的设计图顺了出来，导致制造方法外传。
068660.tex,004660.tex,3.1,小小艾奇德娜,副本「魔航船 虚无方舟」掉落,,模仿艾奇德娜的外形制作的魔法人偶，作者不详。棺椁里不知为何用现代语言刻着“我一心想要回去，便跳入了裂缝，谁知进入了一艘奇怪的船里。在那里我遇到了一位睡美人”的字样。
068661.tex,004661.tex,3.1,迷你瑞姆,官方活动奖励,实体特典,以传说中的英雄“瑞姆”为原型的魔法人偶。瑞姆是个伟大的魔法师，相传她只要在纸上画上两笔，就能生出听从她的指挥的魔物。因此这个魔法人偶也经常拿出画笔涂涂画画，不过从没人看得出来它画的都是些什么……
068662.tex,004662.tex,3.1,猎鹰,副本「云冠群岛」掉落,,狩猎用的猎鹰，在云冠群岛与本领高强的冒险者相识，将冒险者认定为自己狩猎的搭档。在古代怪兽横行的危险空域独自生存下来，训练了一身好本领，被它盯上的猎物绝对逃脱不掉。
068663.tex,004663.tex,3.1,浅瞳,完成成就：萌宠之王2.0,,深瞳的幼崽，是“妖异十二阶”中排第十二阶级的最下级妖异。拥有多少力量完全取决于所依附的眼球的主人有多强大。因此依附时一定要看好了，那眼球到底是龙的还是猴面雀的。
068664.tex,004664.tex,3.1,企鹅王子,完成成就：盘上的军事家1,,帝企鹅的幼鸟，为了建立自己的帝国而踏上了旅途，没想到最后来到了金碟游乐场。为了在严酷的建国战争中取得胜利，正在寻找优秀的军事家。
068665.tex,004665.tex,3.1,发条双塔尼亚,完成成就：萌宠挑战者1,,模仿双塔尼亚制作的亚拉戈制魔法人偶。相传是为了纪念压制南方美拉西迪亚大陆，亚拉戈帝国魔科学部制作给孩子们的纪念品。那环状拘束具做得别提有多还原了，怎么全是亚拉戈的！
068666.tex,004666.tex,3.1,叶小妖妖,副本「草木庭院 圣茉夏娜植物园」掉落,,叶小妖的幼崽。是原圣茉夏娜植物园以研究为目的而栽培的植物的子孙。原产地本是东方的岛国，但却生于萨雷安。现在正在到处寻找一个新家。
068667.tex,004667.tex,3.1,伊弗利特之形,Lv60 裁衣秘籍第三卷制作,,以火神伊弗利特为原型制作的魔法人偶。裁衣匠行会制作它以纪念冒险者弑神的壮举。该人偶向人们传达了“人必胜神”的概念，在喜爱流行文化的乌尔达哈一炮走红。
068668.tex,004668.tex,3.1,迷你奥尔什方,完成主线「光与暗的分界」后获得,,以福尔唐家的骑士奥尔什方为原型制作的魔法人偶。艾因哈特家的长男斯特凡尼维安亲手制作，意在将其为了人民与朋友战斗到最后一刻的伟大骑士精神传承给后人。人偶的一举一动，让人回想起往日的种种，历历在目……
068669.tex,004669.tex,3.1,尊杜玩偶,"要求瓦努族声望到达：誓约
贩卖价格：25000金币",,模仿瓦努族外形的魔法人偶。美艳的衮杜族的咒法师制作出它，以纪念与豁达的尊杜族的友好关系。为了能够再现出如阳光般耀眼的美丽羽毛的颜色，衮杜族使用了一种不能说的材料……
068670.tex,004670.tex,3.2,骨颌玩偶,"要求骨颌族声望到达：誓约
贩卖价格：25000金币",,模仿骨颌族同心一族外形的魔法人偶。“人偶师”先生倾力打造的新作品。据说为了表现同心一族整齐划一毫无个性的形象，把脸部刻画得毫无特色，根本不知道哪里有什么不同。
068671.tex,004671.tex,3.2,自由脑玩偶,"要求骨颌族声望到达：信赖
贩卖价格：25000金币",,模仿骨颌族离群一族外形的魔法人偶。某个骨颌族在任务中看到人类带着的人偶，出于感慨而制作了离群一族的人偶。后来这个骨颌族被人们称为“人偶师”。
068672.tex,004672.tex,3.2,迦楼罗之形,Lv60 裁衣秘籍第三卷制作,,以风神迦楼罗为原型制作的魔法人偶。刚发售时曾因为是将敌对种族所崇敬的蛮神作为人偶过于荒唐，而引起格里达尼亚的抗议。后来渡鸦周刊发表文章说该人偶具有消灾避厄功能，一时间大受欢迎。
068673.tex,004673.tex,3.2,泰坦之形,Lv60 裁衣秘籍第三卷制作,,以土神泰坦为原型制作的魔法人偶。裁衣匠行会的蛮神系列第二作。设计时特意请来了拥有土神讨伐经验的原海雄旅团精英——特拉哈涂姆先生作为特别顾问，真实还原了他口中的土神泰坦形象。
068674.tex,004674.tex,3.2,利维亚桑之形,Lv60 裁衣秘籍第三卷制作,,以水神利维亚桑为原型制作的魔法人偶。继泰坦之形后，再次起用原海雄旅团特拉哈涂姆先生作为特别顾问，在他的“差不多就这样”的指示之下完美重现了水神特征鲜明的身体线条。
068675.tex,004675.tex,3.2,迷你尼禄,"30,000金碟币 兑换",,以超级天才机械师尼禄为原型制作的魔法人偶，随人偶附赠最强武器——雷神枪锤。你那个公司制作的破人偶根本就没法比啊，加隆德……
068676.tex,004676.tex,3.2,迷你浮士德,副本「亚历山大律动篇零式四层」掉落,,将浮士德进行微缩并重新设计之后的小型机工兵。似乎是哥布林族科学家集团青蓝之手为了评价新武器的综合火力而专门设计出来当靶子的。它拼尽全力与挑战者对抗的身影令人肃然起敬。
068677.tex,004677.tex,3.2,卡尔克,副本「星海空间 颠倒塔」掉落,,可爱又恐怖的魔法人偶。萨雷安的伟大魔法师为了守护颠倒塔，将魔力灌注在人偶中从而诞生。另外，起初人偶是没有头发的，后来觉得太惊悚，经过改良植入了头发。
068678.tex,004678.tex,3.2,布莉娜,副本「星海空间 颠倒塔」掉落,,可爱又恐怖的魔法人偶。和卡尔克一起守卫颠倒塔，却被冒险者击败，四散而逃。意外的是冒险者却在附近的宝箱之中发现了她，就作为土特产收下了。
068679.tex,004679.tex,3.2,蓝闪蝶,副本「神圣遗迹 无限城市街古迹」掉落,,绽放着梦幻般光芒的蓝色蝴蝶。它的羽毛由于拥有妨碍魔力恢复的功能，在魔大战时代被认为是制作对魔法师用毒药的珍稀炼金素材，因此遭到滥捕，导致如今濒临灭绝。
068680.tex,004680.tex,3.2,波罗·罗格,完成3.2主线「星海的呼唤」获得,,老贤者玛托雅对蟾蜍施法而创造出的使魔，已经忠实地为玛托雅工作了50年以上。如今，玛托雅同意了它“世界这么大，我想去看看”的请求，让它和光之战士一起踏上了旅程。
068681.tex,004681.tex,3.2,迷你吉尔伯特,官方活动奖励,实体特典,以古代英雄“吉尔伯特”为原型的魔法人偶。作为拥有特殊才能的吟游诗人末裔，他的歌声具有能降妖除魔的神奇力量。同时，传说他作为亡国的王子，为了爱从未停止与黑暗势力的战斗。
068682.tex,004682.tex,3.2,芬里尔幼崽,3.2版本PVP群狼盛宴获胜后一定几率掉落,,古代野兽霜狼的幼崽。拥有月光一般冷彻的青色皮毛，因此也被人们以传说中的幻兽月狼芬里尔的名字来称呼它们。从小在狼群互相争斗的“狼狱”长大，虽然年幼但是桀骜且勇猛。
068683.tex,004683.tex,3.35,武士喵,,妖怪手表联动,吉胖喵的祖先。会使用传说中的宝刀高呼类似“妖怪解说、一分为二！”这种话将东西斩断。
068684.tex,004684.tex,3.35,吉胖喵,,妖怪手表联动,一只不幸被汽车撞死的猫变成的地缚灵。虽然一直在向汽车复仇但总是以失败告终。
068685.tex,004685.tex,3.35,浮游喵,,妖怪手表联动,浮游灵的猫妖怪。虽然漂浮在半空中，但性格却是脚踏实地，非常值得信赖。额头上的伤痕是荣耀的勋章。
068686.tex,004686.tex,3.35,小石狮,,妖怪手表联动,厌倦了守护神社的工作而离家出走的石狮子妖怪。总是惊叹于大城市的厉害之处而发出感慨。
068687.tex,004687.tex,3.35,小石次郎,,妖怪手表联动,小石狮的双胞胎弟弟。和不习惯都市生活的哥哥不同，很快就适应了所处的环境。对自己的哥哥小石狮十分尊敬。
068688.tex,004688.tex,3.35,小土龙,,妖怪手表联动,可以带来好运的蛇妖怪，非常吉利。因为不擅长隐藏自己，所以总是被人发现，并因此而苦恼。
068689.tex,004689.tex,3.35,USA蹦,,妖怪手表联动,外国妖怪，来自大洋彼岸的国家，梦想是到太空旅行。如果愤怒到极点的话，会变身黑化模式。
068690.tex,004690.tex,3.35,大蛇,,妖怪手表联动,用自身的灵气生成龙形的围巾，并以此来战斗。在妖怪世界中属于精英级别的妖怪，拥有顶级的实力。
068691.tex,004691.tex,3.35,九尾,,妖怪手表联动,拥有九条尾巴的高级别的狐狸妖怪。可以十分轻松地放出如同火山爆发般强大的火炎。
068692.tex,004692.tex,3.35,威斯帕,,妖怪手表联动,自称是妖怪管家的妖怪。虽然可以流利地说出大部分妖怪的情报，但其实是一边看着妖怪平板一边装作很懂行的样子说的。
068693.tex,004693.tex,3.35,机器喵F型,,妖怪手表联动,作为升级版开发出来的最新型机器喵。去掉了所有没用的功能，实现了美妙的形态。
068694.tex,004694.tex,3.35,吹雪姬,,妖怪手表联动,能够自由操纵寒气的可爱妖怪。据说可以让盛夏降雪，甚至是把火山变成雪山。
068695.tex,004695.tex,3.35,人面犬,,妖怪手表联动,当下时兴的狗狗品种，长着大叔脸。从背后看十分惹人喜爱，但看到正脸后会被吓蒙。梦想是变得人见人爱。
068696.tex,004696.tex,3.35,新型迷你雅·修特拉,2017年「新生祭」奖励,2016年「新生祭」奖励,冒险者行会为庆祝艾欧泽亚的新生庆典而准备的魔法人偶。当提出要以拂晓血盟的贤人雅·修特拉为原型制作魔法人偶时，某位莱韦耶勒尔家的少爷凭借记忆描绘出了精致的肖像画，得以用来参考。
068697.tex,004697.tex,3.3,幼龙玩偶,"要求莫古力族声望到达：信赖
贩卖价格：25000金币",,模仿幼龙形象制作的魔法人偶。是莫古力族的工匠在学习人类手艺的过程中做成的。以年龄约为30岁左右的幼龙卡尔?米克为原型，为了再现真实的质感，使用了它脱皮时掉下来的真的鳞片。
068698.tex,004698.tex,3.3,拉姆之形,Lv60 裁衣秘籍第三卷制作,,以雷神拉姆为原型制作的魔法人偶。发现迦楼罗的魔法人偶很受欢迎，于是开始设计制作拉姆人偶。因为参考了暂留地的妖精族的描述，总觉得长得有点像妖精族。
068699.tex,004699.tex,3.3,希瓦之形,Lv60 裁衣秘籍第三卷制作,,以冰神希瓦为原型制作的魔法人偶。异端者们在得知各个城市都在制作以蛮神为原型的魔法人偶后，决心制作冰神希瓦人偶并公开制作方法。也许是因为他们的信仰太过虔诚，人偶的表情非常得可爱。
068700.tex,004700.tex,3.3,波奇,"30,000金蝶币兑换",,用双脚走路的谜之猪。因为在金碟游乐场的自助餐厅吃霸王餐而被抓住当作了纪念品。但是没有人知道这个猪是谁、从何而来。
068701.tex,004701.tex,3.3,魔法水桶,捕鱼获得（灾祸池南）,,利用魔法人偶技术制作出来的会动的水桶。听说是某个捕鱼人因为嫌把钓来的鱼拎回去太麻烦而制作的。不管倒空几次，不知不觉间桶里就又会出现水和生物。那些东西到底是从哪里来的呢？
068702.tex,004702.tex,3.3,触手,副本「黑涡传说 破舰岛」掉落,,被冒险者砍下来的克拉肯的触手的尖端。在海上漂流许久，最后再次回到破舰岛。和一心想要复仇的本体不同，触手的尖端并不想战斗，反而喜欢歌颂自由的人生。
068703.tex,004703.tex,3.55b,腕龙玩偶,在[云冠群岛]击杀[腕龙]随机掉落,,某位空贼模仿腕龙制作的魔法人偶，原型是在云冠群岛目击到的超大型古代生物。不过话说回来，为什么浮岛上会有那么巨大的生物呢？真是谜团重重啊。
068704.tex,004704.tex,3.3,拉拉队小姑娘,15000狼印战绩兑换,,拉拉队姑娘的魔法人偶。为给狼狱水上竞技场战斗的饿狼们加油而制作出来的。但据说发现有人消极应赛时，它的眼神会变得很危险，还可能爆粗口喝倒彩什么的。
068705.tex,004705.tex,3.35,迷你可露儿,2017年「新生祭」奖励,2016年「新生祭」奖励,冒险者行会为庆祝艾欧泽亚的新生庆典而准备的魔法人偶，模仿的是萨雷安出身的魔法师可露儿小姐。据说兜帽上那个如同猫魅族一样的大耳朵其实彰显着她拥有的某种“能力”。
068706.tex,004706.tex,3.3,迷你艾默里克,完成主线「绝命怒嚎」后获得,,以艾默里克为原型制作的魔法人偶。某个神殿骑士团副骑士长想要制作敬爱的上司的人偶，然而因为她的手太笨导致制作失败。看到她沮丧的样子太过可怜，教皇厅的技师偷偷地把人偶重新制作了一下。
068707.tex,004707.tex,3.3,卡洛菲斯提莉玩偶,副本「禁忌城邦 玛哈」掉落,,以卡洛菲斯提莉为原型制作的魔法人偶，作者不详。在暗中注视着冒险者与卡洛菲斯提莉战斗的某人，注入强烈的情感即兴制作而成。随后，他与妖异一起消失了踪影。
068708.tex,004708.tex,3.35,大脚小猿,"通关副本「死者の宫殿」3次
用3个低保找NPC换取",,制革匠行会为宣传自然保护启蒙活动，以大脚巨猿为原型制作的魔法人偶。想以此告诉大家，因一时流行的需要滥捕野生动物，会使它们濒临灭绝。
